destino;actual_growth;area_wide;mix_effect;competitive;allocation
Argentina;696,117;2250,3469044917;15,9598029613182;-1595,75254334689;25,5628358938671
Brazil;919,787;2058,29295162109;-93,9130779898063;-963,076689976476;-81,5161836548029
Colombia;2126,494;927,615812364677;98,9644994924586;1307,90690177691;-207,993213634042
Cuba;1559,241;1131,50886160302;-18,0856527612648;397,289404743543;48,5283864147012
Dominican Republic;2139,605;1754,52329920301;2,34256438088265;415,774416565828;-33,0352801497166
Jamaica;729,168;703,785720005222;0,742839852424528;-3,33969875643601;27,97913889879
Peru;1773,984;1118,32245071129;-6,01097593601656;629,983126127768;31,6893990969588
