destino;actual_growth;area_wide;mix_effect;competitive;allocation
Argentina;599,334000000001;2673,34890253757;-42,377514490255;-2110,57301486635;78,9356268190364
Brazil;1191,762;2379,37601298306;-131,972939717414;-977,893367982573;-77,7477052830724
Colombia;2764,28;1015,00439679687;79,5169885662451;2962,09632839619;-1292,3377137593
Cuba;1743,813;1289,00561492958;56,4316812854812;437,208866006716;-38,8331622217745
Dominican Republic;2321,493;2011,10606383996;99,2730813525574;383,491115248996;-172,377260441511
Jamaica;759,242;823,330953012128;-36,7275451180415;-98,8552344549776;71,4938265608909
Peru;2072,6;1261,35205590084;-24,1437518785786;782,720473417828;52,6712225599078
