origem;actual_growth;area_wide;mix_effect;competitive;allocation
Americas;8108,247;8031,10112531091;77,1458746890869;480,075692419421;-480,07569241942
Europe;1249,815;2358,53233056221;-1108,71733056221;180,742634130391;-180,742634130391
Outros;2094,462;1062,89054412689;1031,57145587311;717,376839216011;-717,376839216011
